method,state_type,shots,mean,median,std,q1,q3,iqr,min,max,skew,low_outliers_frac,high_outliers_frac
MLE,mixed,20,0.5829487355008969,0.5910110437858274,0.12548392484252546,0.497319613610406,0.6743275593765803,0.1770079457661743,0.18220277722477562,0.8690123305678638,-0.3704325574618958,0.1,0.1
Physics-Informed NN,mixed,20,0.7572538277082455,0.7634545052138333,0.0764103547371931,0.7092641850293383,0.8132456738062606,0.10398148877692226,0.4802628170737894,0.9237998194116581,-0.4509029180984944,0.1,0.1
Stokes,mixed,20,0.8417873583728595,0.8774900976692009,0.16299296318815204,0.7331534049816588,1.0,0.2668465950183412,0.23925050769060346,1.0,-0.9076416361666332,0.1,0.0
MLE,mixed,80,0.7867229738431809,0.7928878109910467,0.07524956481731168,0.7394473100126864,0.8411020044649373,0.10165469445225095,0.4823003006673238,0.9490721535910439,-0.5625384130908053,0.1,0.1
Physics-Informed NN,mixed,80,0.8434920673591859,0.8464596567641978,0.05047594861173141,0.8136300059322104,0.880666984127633,0.06703697819542265,0.579800240688447,0.9697333913722559,-0.5494637459816512,0.1,0.1
Stokes,mixed,80,0.8739698301620665,0.8779951038893007,0.09741230110930328,0.8065951080542748,0.9626110988906341,0.1560159908363593,0.5054948818986673,1.0,-0.4856415374287025,0.1,0.0
MLE,mixed,320,0.920893523995856,0.9263574103958907,0.03225078057638214,0.9032335289593825,0.9441730253039905,0.04093949634460803,0.7219945433364071,0.9838759400527681,-1.0383337644005288,0.1,0.1
Physics-Informed NN,mixed,320,0.9210308546958855,0.9245519343722942,0.028001532454507958,0.903391437453898,0.9412962363269172,0.03790479887301912,0.8123135023444246,0.9828573779047675,-0.6157890454842928,0.1,0.1
Stokes,mixed,320,0.9297895675645381,0.9329945525571903,0.047015166380542435,0.8969295816650144,0.9631353465118517,0.06620576484683738,0.7844838770790142,1.0,-0.36006772904114326,0.1,0.1
MLE,mixed,1280,0.9721054770786625,0.9746991791196634,0.012585593529555813,0.9653469672749789,0.9812369536073886,0.015889986332409678,0.9081219930261856,0.996247718803755,-1.0915348465849841,0.1,0.1
Physics-Informed NN,mixed,1280,0.9641621513053101,0.9666606699164116,0.014294416031238901,0.9563301186205856,0.9742856472506816,0.017955528630095974,0.912488990674355,0.9918011388266582,-0.7701503537212467,0.1,0.1
Stokes,mixed,1280,0.970523760727509,0.9731428372479813,0.016992842325874617,0.959762608230375,0.9824809141309268,0.022718305900551794,0.9153452174742157,1.0,-0.5907018636760446,0.1,0.1
MLE,pure,20,0.7135497041463412,0.7403758797711304,0.15641459005552508,0.6187745665762701,0.8343700557918854,0.21559548921561533,0.07833798150148326,0.9755583019430523,-0.8621435094896528,0.1,0.1
Physics-Informed NN,pure,20,0.7107808928312399,0.7488424277385864,0.17602401128054546,0.625625060478211,0.8396774331140557,0.21405237263584476,0.0033609505910401185,0.9940151803191005,-1.1120952399395023,0.1,0.1
Stokes,pure,20,0.8729436821186355,0.9459061676232545,0.1620465856199044,0.7855309156782772,1.0,0.21446908432172285,0.15681699437976201,1.0,-1.3467971580032738,0.1,0.0
MLE,pure,80,0.8499591209854165,0.8611266214526642,0.07686516964359168,0.804798546121087,0.9041104925250836,0.09931194640399654,0.42663645817256124,0.9856994326773428,-0.8702136946827291,0.1,0.1
Physics-Informed NN,pure,80,0.9209164901985036,0.9326304957362611,0.0522119427571596,0.8987532275245651,0.956291734994201,0.05753850746963585,0.5937473934925889,0.994585780224753,-1.7447561807349168,0.1,0.1
Stokes,pure,80,0.9205436940259806,0.9463638113408497,0.09043516262524409,0.8643497965064104,1.0,0.13565020349358958,0.4512290653734769,1.0,-1.2509376687283995,0.1,0.0
MLE,pure,320,0.8991390316123609,0.9010782548422265,0.035864236054137986,0.8757253206022156,0.9242166126715409,0.04849129206932523,0.784728140944735,0.9920308853128139,-0.2716698335903638,0.1,0.1
Physics-Informed NN,pure,320,0.9755301575291833,0.9796349988431436,0.02435525643123009,0.9698008979957509,0.9871942004004578,0.017393302404706934,0.4073402681521382,0.998799849661543,-13.426424333786418,0.1,0.1
Stokes,pure,320,0.9414178485082029,0.9478611448004862,0.05046650078572714,0.9031181141584235,0.9900157645877088,0.08689765042928532,0.7826617237362622,1.0,-0.5723927732954404,0.1,0.0
MLE,pure,1280,0.9194968616438688,0.9197966395956094,0.02332262610541656,0.9045044274918682,0.9355756588848184,0.031071231392950205,0.834500903227716,0.9865353601282338,-0.16175899330676616,0.1,0.1
Physics-Informed NN,pure,1280,0.9919340573208523,0.9930863782070201,0.0052873222807665815,0.9895723914128705,0.9956731750777846,0.006100783664914178,0.947247707195443,0.9995068425872848,-1.7361297979429098,0.1,0.1
Stokes,pure,1280,0.944784559393254,0.9441460650097923,0.02917572521954047,0.9257772936751612,0.966188002588877,0.0404107089137159,0.8514305508239581,1.0,-0.13829626530130276,0.1,0.1
